Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE DEFAULT:Zone Mean Radiant Temperature [C](Hourly),ZONE DEFAULT:Zone Mean Air Temperature [C](Hourly),ZONE DEFAULT:Zone Air Relative Humidity [%](Hourly) 
 01/01  01:00:00,21.4875,23.656969737078254,23.751035223587559,77.26182759227756 
 01/01  02:00:00,20.6875,22.830422551233803,22.926385214967298,81.22050948764167 
 01/01  03:00:00,20.4375,22.077243207348457,22.174715566830828,85.00453466779212 
 01/01  04:00:00,20.2125,21.41337786511863,21.513015868795877,88.48850393444794 
 01/01  05:00:00,20.2875,20.837389871162697,20.942580423773469,91.6230303949947 
 01/01  06:00:00,20.4,20.387739273033099,20.491134049354196,94.2243919756666 
 01/01  07:00:00,21.4,20.353556121324439,20.405221625458606,94.77410450064767 
 01/01  08:00:00,23.25,21.15234632723727,21.11846298084324,90.7494005522448 
 01/01  09:00:00,24.437500000000005,22.637179465843159,22.55890129360661,83.14710839125047 
 01/01  10:00:00,26.0125,24.613834816469468,24.483774747172938,74.0628360702056 
 01/01  11:00:00,27.3625,26.916243332580547,26.750453960753775,64.7370392216424 
 01/01  12:00:00,27.8875,29.062654413944956,28.897775164598586,57.07826638722195 
 01/01  13:00:00,27.9375,30.568414035926474,30.402701888993695,52.29961425362343 
 01/01  14:00:00,28.2125,31.664222645914817,31.480282123114244,49.15655858800478 
 01/01  15:00:00,28.4,32.637028101809267,32.441259465752718,46.53976934474814 
 01/01  16:00:00,28.65,33.40158689908623,33.26267544495034,44.42088634857602 
 01/01  17:00:00,28.362500000000006,33.586421189054977,33.55504234216873,43.68028530234668 
 01/01  18:00:00,27.6,32.829520274055287,32.92457996017306,45.24858790806745 
 01/01  19:00:00,26.112499999999998,31.356644870977676,31.477107169475639,49.11809577143222 
 01/01  20:00:00,24.775,29.683957411621259,29.815524331125546,54.03810476733234 
 01/01  21:00:00,24.025,28.128563502942517,28.252527460366417,59.170680663545528 
 01/01  22:00:00,23.3,26.77244830650682,26.889648603762358,64.08472066217661 
 01/01  23:00:00,22.75,25.590502086264814,25.692161572206716,68.7815607619628 
 01/01  24:00:00,22.4125,24.559977396933893,24.656372683693115,73.15099291057331 
 01/02  01:00:00,22.175000000000006,23.68186094294186,23.774558770535064,77.09339120509614 
 01/02  02:00:00,22.0375,22.943410610770174,23.036623565822745,80.56646533778074 
 01/02  03:00:00,22.0,22.307091822713738,22.405410481541929,83.68683394911369 
 01/02  04:00:00,22.0,21.764045644228447,21.86616911185203,86.48521787027015 
 01/02  05:00:00,21.812500000000005,21.29819227399083,21.407433728636808,88.98558424388856 
 01/02  06:00:00,22.0125,20.94260462850422,21.041333427170227,91.07117839452353 
 01/02  07:00:00,22.762500000000004,20.905863217348235,20.97541186182054,91.49594073188917 
 01/02  08:00:00,23.1625,21.179894454201166,21.240099052369179,90.04937829622475 
 01/02  09:00:00,22.699999999999997,21.187849927045357,21.261216252577517,89.95006774097458 
 01/02  10:00:00,21.275,20.937652205154384,21.013726222572516,91.36968453561012 
 01/02  11:00:00,21.099999999999999,20.669764037557415,20.710319799709347,93.1227195266316 
 01/02  12:00:00,22.5875,21.307610093093979,21.21907876600091,90.26090320933372 
 01/02  13:00:00,24.924999999999998,22.565196652990314,22.396692484429939,83.9751480365139 
 01/02  14:00:00,26.7125,24.35205569988281,24.02854322861842,76.08102477067658 
 01/02  15:00:00,27.2625,26.50487393303557,26.2018193569235,66.81013681173151 
 01/02  16:00:00,27.55,28.00201531945983,27.82713672145038,60.683084479832299 
 01/02  17:00:00,27.824999999999997,28.85882384124318,28.79785097828507,57.32570639198177 
 01/02  18:00:00,27.0875,28.90798845092305,28.945329938251484,56.82671874581241 
 01/02  19:00:00,25.5375,28.16892283587748,28.254101819477808,59.18123122289802 
 01/02  20:00:00,24.0875,27.04627212505011,27.14557256981288,63.17980152300384 
 01/02  21:00:00,23.1625,25.887997398303879,25.98733865859461,67.67353275455811 
 01/02  22:00:00,22.3375,24.82305564241687,24.92066978478475,72.134363391246 
 01/02  23:00:00,21.6875,23.867405150583808,23.96366410283219,76.40913486696394 
 01/02  24:00:00,21.1875,23.018055000388708,23.11390298718998,80.42404457088806 
 01/03  01:00:00,20.875,22.26441538459211,22.36164589943688,84.16307203670859 
 01/03  02:00:00,20.6125,21.597625001030015,21.697379382643719,87.59069358117697 
 01/03  03:00:00,20.625,21.015055122933963,21.11840154010912,90.73686810156213 
 01/03  04:00:00,20.7,20.523628362208517,20.634113120500598,93.4808959355004 
 01/03  05:00:00,20.45,20.098669925360935,20.22466593533704,95.9059013660706 
 01/03  06:00:00,20.175000000000006,19.78199992852343,19.878429193007855,98.00431142070595 
 01/03  07:00:00,21.7875,19.958760776544254,19.985532509042196,97.43688833242837 
 01/03  08:00:00,23.2375,20.839539376710229,20.80478814299766,92.70683857057742 
 01/03  09:00:00,24.6875,22.44577140043332,22.41919402986005,84.0184434921562 
 01/03  10:00:00,25.15,24.128362997845508,24.0650151801078,76.05471008351035 
 01/03  11:00:00,25.5625,25.697652463059876,25.591757340557544,69.43654291234907 
 01/03  12:00:00,26.9,27.37496712394421,27.192828757238165,63.180396263215559 
 01/03  13:00:00,26.9375,29.05167523179515,28.81770368278263,57.44535847905806 
 01/03  14:00:00,26.6,30.345552860915,30.121391283890934,53.26809365113289 
 01/03  15:00:00,26.725,31.23952737275471,31.059444654596008,50.46355455653291 
 01/03  16:00:00,26.549999999999998,31.633414738063125,31.530587787604178,49.105867270465918 
 01/03  17:00:00,25.5875,31.380362088260925,31.374446412310009,49.530042665271839 
 01/03  18:00:00,24.5375,30.44355886487978,30.525634629830319,51.98150095898091 
 01/03  19:00:00,23.6375,29.029528618674989,29.135226032240909,56.320879687035297 
 01/03  20:00:00,22.9875,27.530020352747085,27.64439670976786,61.42664609730275 
 01/03  21:00:00,22.549999999999998,26.16950804530041,26.280694865220739,66.57604070262548 
 01/03  22:00:00,22.025,24.985991855472379,25.081790329289477,71.53199178089365 
 01/03  23:00:00,21.362500000000006,23.967285071077,24.05439865104687,76.08360510718024 
 01/03  24:00:00,20.537499999999999,23.069859145745079,23.15707778069867,80.2631026414472 
 01/04  01:00:00,20.012499999999997,22.25193795909511,22.34192090964048,84.27489136630085 
 01/04  02:00:00,19.5875,21.51198201924261,21.604626863498866,88.14000508432153 
 01/04  03:00:00,19.15,20.833723130704909,20.931876760024094,91.8386217824821 
 01/04  04:00:00,18.8125,20.209285565640184,20.311278847695826,95.4026827056409 
 01/04  05:00:00,18.45,19.64838720576077,19.757040596062219,98.74761311772038 
 01/04  06:00:00,18.3625,19.23896850047743,19.309585071138988,99.9672685641047 
 01/04  07:00:00,20.837500000000003,19.475547350080988,19.47139448978481,98.51969668784821 
 01/04  08:00:00,22.925,20.59899152532613,20.550861719461289,92.20620409408723 
 01/04  09:00:00,23.800000000000006,22.34251028910896,22.36220879562968,82.55570758917945 
 01/04  10:00:00,25.4125,24.496087800456587,24.485032066186095,72.6459865038265 
 01/04  11:00:00,26.3875,26.87635677592826,26.74569629374309,63.51656743047729 
 01/04  12:00:00,27.875000000000005,29.166009215734318,29.023978365798436,55.58650926377388 
 01/04  13:00:00,28.8875,31.20248572239454,31.092534077678633,49.33371563119062 
 01/04  14:00:00,29.25,33.03466295205319,32.85622672090732,44.62461396167747 
 01/04  15:00:00,29.4,34.39059668154794,34.210030958307147,41.349875413033469 
 01/04  16:00:00,29.3375,35.174164304534567,35.056924612700949,39.43735725438842 
 01/04  17:00:00,28.175,35.2142045944893,35.20218695511148,39.10939553532744 
 01/04  18:00:00,26.1875,34.09371709829002,34.19785297773431,41.366793030697028 
 01/04  19:00:00,24.65,32.14683423916446,32.28230822810709,46.082469201109919 
 01/04  20:00:00,23.325,30.07446488770814,30.212567564520357,51.85799963026237 
 01/04  21:00:00,22.237499999999998,28.182177413674276,28.313340302860867,57.9010470344483 
 01/04  22:00:00,21.5875,26.5483648110715,26.668310208040283,63.77853093774692 
 01/04  23:00:00,21.4,25.1980596979348,25.306112645200487,69.14266057686156 
 01/04  24:00:00,21.4,24.067248346633787,24.159608680632787,74.03518436818924 
 01/05  01:00:00,21.3375,23.106327992282659,23.19811049036614,78.40908938933029 
 01/05  02:00:00,21.175000000000006,22.30146634801875,22.39286876050836,82.31074374336063 
 01/05  03:00:00,20.9125,21.623725495035936,21.71583615928445,85.750733281749 
 01/05  04:00:00,20.8,21.047362256698898,21.143485688542805,88.78735550718943 
 01/05  05:00:00,20.8,20.55999757614172,20.664732313994699,91.44776492632087 
 01/05  06:00:00,20.8,20.172471318486168,20.28170831175826,93.71079870276677 
 01/05  07:00:00,21.799999999999998,20.148791497571506,20.196748871791969,94.25185537071703 
 01/05  08:00:00,23.3375,20.981250303113737,20.94199262840082,90.06924030646926 
 01/05  09:00:00,23.9,22.392183382981984,22.337631385085947,82.70895117453525 
 01/05  10:00:00,24.8375,24.227797119619838,24.125091907868318,74.24663747972983 
 01/05  11:00:00,25.525,26.21698984842417,26.08976118195357,66.05269407186995 
 01/05  12:00:00,26.225,28.089585595232994,27.929405366658388,59.25876263717649 
 01/05  13:00:00,26.9125,29.85561723622735,29.660013022166618,53.57717779119773 
 01/05  14:00:00,27.6,31.444746391042626,31.23881824578813,48.920095071227638 
 01/05  15:00:00,27.8375,32.6582648221466,32.48831549449521,45.56141053614966 
 01/05  16:00:00,26.8625,33.06492332516698,33.01905877980735,44.209793388826678 
 01/05  17:00:00,26.362499999999998,32.493651309781217,32.576012954373329,45.32055935397908 
 01/05  18:00:00,25.5875,31.27620491405623,31.42611881649281,48.38873760862347 
 01/05  19:00:00,23.7875,29.68979640825409,29.818471991260347,53.07588472036643 
 01/05  20:00:00,22.249999999999998,27.973965162889706,28.10322937508679,58.653556288864248 
 01/05  21:00:00,21.1125,26.364380739507959,26.485450544245709,64.51896334858017 
