Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE DEFAULT:Zone Mean Radiant Temperature [C](Hourly),ZONE DEFAULT:Zone Mean Air Temperature [C](Hourly),ZONE DEFAULT:Zone Air Relative Humidity [%](Hourly) 
 01/01  01:00:00,26.7375,25.05274071581385,25.14184888157678,86.71252359616173 
 01/01  02:00:00,26.7,24.590119248622569,24.67294522852186,89.13272851440698 
 01/01  03:00:00,26.7,24.210042704003159,24.290603231845816,91.18024968952313 
 01/01  04:00:00,26.637500000000004,23.8980468889208,23.979521661187304,92.88513795104933 
 01/01  05:00:00,26.5375,23.63134406455104,23.716224298888876,94.4049717243694 
 01/01  06:00:00,26.687499999999998,23.44796165489887,23.52272942595868,95.58935478409663 
 01/01  07:00:00,27.425,23.617394673192714,23.66344073881607,94.86295784051677 
 01/01  08:00:00,28.3625,24.32632639756052,24.32389490409921,91.24474997997737 
 01/01  09:00:00,29.3875,25.620998659740825,25.527339394644778,84.99271933202289 
 01/01  10:00:00,30.300000000000006,27.371974616589325,27.24408998901137,76.83034967690586 
 01/01  11:00:00,30.7875,29.256053961713417,29.087592811276229,68.99842788503455 
 01/01  12:00:00,31.275,30.989093543297757,30.784446113436898,62.55437078059497 
 01/01  13:00:00,31.625000000000005,32.59270170137246,32.35631119489009,57.18032167512001 
 01/01  14:00:00,31.1375,33.892637689351229,33.69897833120827,52.98351805565586 
 01/01  15:00:00,30.6125,34.48938192865089,34.419873921334438,50.85878232884984 
 01/01  16:00:00,29.9375,34.26049601566429,34.298938037846,51.187005393006277 
 01/01  17:00:00,29.1,33.37124273768774,33.497686116110568,53.5312748203589 
 01/01  18:00:00,28.237499999999998,31.986886457205615,32.13587260928975,57.82127156363302 
 01/01  19:00:00,27.7125,30.465525216397944,30.61439972806034,63.068714178182677 
 01/01  20:00:00,27.475,29.104984148710679,29.23858899060421,68.28883457745192 
 01/01  21:00:00,27.4,27.985678715393918,28.093030893649876,73.00971411796982 
 01/01  22:00:00,27.2125,27.05824742050368,27.157038602699396,77.12213564471588 
 01/01  23:00:00,26.975,26.271906031094085,26.367884719664706,80.75384278549811 
 01/01  24:00:00,26.8375,25.608749883933755,25.701576409735929,83.94806865159241 
 01/02  01:00:00,26.675000000000006,25.04578189439594,25.13778071606626,86.76608488655632 
 01/02  02:00:00,26.6,24.567334961210109,24.65586343856474,89.26052187317764 
 01/02  03:00:00,26.475,24.160398247401735,24.246995365024199,91.46357780272922 
 01/02  04:00:00,26.3375,23.811848582032355,23.90085629955709,93.39872047396936 
 01/02  05:00:00,26.3,23.51510389023012,23.605670423774943,95.12670836519776 
 01/02  06:00:00,26.2375,23.30333772778781,23.383231091814204,96.46900467789132 
 01/02  07:00:00,27.45,23.479641009474837,23.527442636682545,95.6716780033962 
 01/02  08:00:00,28.324999999999997,24.284183839076215,24.256653318660697,91.6229437835357 
 01/02  09:00:00,28.65,25.67693479851624,25.603553915088257,84.60459863142676 
 01/02  10:00:00,29.799999999999998,27.378606789682878,27.263262569928587,76.73354605154518 
 01/02  11:00:00,30.525,29.233642696853396,29.071874868718127,69.05483963112232 
 01/02  12:00:00,31.1625,31.051674281109187,30.843289419874908,62.34165367799713 
 01/02  13:00:00,31.1875,32.639026194151799,32.41594940555446,56.97618186966153 
 01/02  14:00:00,30.6875,33.76862542179408,33.58848635134794,53.30130995937554 
 01/02  15:00:00,30.25,34.35411718531769,34.25076273401145,51.33757868276664 
 01/02  16:00:00,29.5375,34.25634518576623,34.268253252485887,51.279977613264268 
 01/02  17:00:00,28.6375,33.40015900513205,33.51997968549803,53.47537056007541 
 01/02  18:00:00,27.925,32.020171810266699,32.16212327137349,57.73923429048526 
 01/02  19:00:00,27.45,30.504708616236827,30.65031039832717,62.935596780348927 
 01/02  20:00:00,27.175000000000006,29.138367764137784,29.270177830683445,68.14070858026699 
 01/02  21:00:00,26.9125,28.00073117495231,28.109217467592715,72.89630150641227 
 01/02  22:00:00,26.8,27.04557904174013,27.146377673697374,77.12693945758476 
 01/02  23:00:00,26.8,26.238550996378306,26.335779976134483,80.87723517161304 
 01/02  24:00:00,26.6125,25.55038143704841,25.647811412069897,84.2020813621658 
 01/03  01:00:00,26.5,24.963361641107974,25.060145558383455,87.15988388084164 
 01/03  02:00:00,26.25,24.451105724476816,24.552233297143507,89.79568630962908 
 01/03  03:00:00,25.7875,23.984738381633116,24.093576373282795,92.2711081329704 
 01/03  04:00:00,25.4125,23.547117915269355,23.664165556062878,94.71016520852193 
 01/03  05:00:00,24.675,23.115509211046029,23.24508969762104,97.17716861869799 
 01/03  06:00:00,24.3,22.74891102513259,22.864347174731415,99.47963731137704 
 01/03  07:00:00,26.3,22.83982133044511,22.907663950034924,99.26568237294451 
 01/03  08:00:00,28.125,23.636007933580886,23.62901515694951,95.099140261543 
 01/03  09:00:00,29.375,25.182646657016805,25.12897940312555,87.00471644713397 
 01/03  10:00:00,29.9625,27.131249514018486,27.03259415318633,77.76991462131156 
 01/03  11:00:00,30.25,29.14233452578415,28.998170608586528,69.32777772718572 
 01/03  12:00:00,30.8375,31.024537235109979,30.837151455660803,62.341398916917558 
 01/03  13:00:00,30.475,32.675677570707467,32.46263309974317,56.81202349684597 
 01/03  14:00:00,30.6,33.978158764804778,33.7956340808305,52.67256523311647 
 01/03  15:00:00,30.525,34.65645019649745,34.577063187640437,50.395434281966789 
 01/03  16:00:00,29.925,34.53180332392209,34.55801726208316,50.435172055470967 
