Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE DEFAULT:Zone Mean Radiant Temperature [C](Hourly),ZONE DEFAULT:Zone Mean Air Temperature [C](Hourly),ZONE DEFAULT:Zone Air Relative Humidity [%](Hourly) 
 01/01  01:00:00,22.575,23.288770650242637,23.345561074779558,78.14710120154425 
 01/01  02:00:00,22.7375,22.66654338590234,22.71133756153762,81.20180090557771 
 01/01  03:00:00,22.325000000000004,22.181986724510464,22.22562398421814,83.63334416910203 
 01/01  04:00:00,22.225,21.77145256459756,21.819831448448594,85.7281505462553 
 01/01  05:00:00,22.2375,21.418122076098905,21.473014193820988,87.56555456337321 
 01/01  06:00:00,22.2,21.276392712161589,21.29297219151518,88.53677632977304 
 01/01  07:00:00,22.137500000000004,21.921707642583976,21.95422370061047,85.03815446196188 
 01/01  08:00:00,23.225,23.14521182665941,23.33645016325278,78.2174935138028 
 01/01  09:00:00,24.3375,24.67827396701461,25.00363545617602,70.7729953779962 
 01/01  10:00:00,24.6,26.119167002968444,26.39300330506762,65.16233089348514 
 01/01  11:00:00,24.975,27.364468544456949,27.53318540954496,60.93826579038835 
 01/01  12:00:00,25.075,28.61077364310171,28.655657582704806,57.083445005150739 
 01/01  13:00:00,25.6875,29.852245465118036,29.805391919448338,53.41669451952794 
 01/01  14:00:00,26.225,31.00010008183058,30.90066481740628,50.167702215537499 
 01/01  15:00:00,26.049999999999998,31.763560640948947,31.672603882379045,48.00839843349672 
 01/01  16:00:00,25.9,32.04275768803536,31.992659350252919,47.14454892038999 
 01/01  17:00:00,25.9,32.10296742601777,32.119805614538048,46.8067576893631 
 01/01  18:00:00,25.65,31.857702842905476,31.98806829519192,47.157693385137807 
 01/01  19:00:00,24.9375,30.97066030588032,31.21560082636569,49.278709959395218 
 01/01  20:00:00,23.35,29.47986908393773,29.71418265349174,53.711339125637348 
 01/01  21:00:00,22.5375,27.844227569309198,28.0304738075831,59.208631646802079 
 01/01  22:00:00,22.374999999999998,26.380477630478649,26.518145372854865,64.68821521571448 
 01/01  23:00:00,22.2375,25.14489634698164,25.24679004139441,69.73985025943529 
 01/01  24:00:00,22.2,24.115964461553319,24.1857372167878,74.29837029765332 
 01/02  01:00:00,22.012499999999997,23.25641163997725,23.316772896435976,78.28436780627247 
 01/02  02:00:00,21.8375,22.522526687352785,22.5816044002851,81.84586143982918 
 01/02  03:00:00,21.862499999999998,21.900045866615288,21.962492849506995,84.9872246991496 
 01/02  04:00:00,21.9625,21.391391599981394,21.459879356446448,87.63737760747127 
 01/02  05:00:00,22.0625,20.99217340788416,21.070504318376828,89.75467948031263 
 01/02  06:00:00,22.225,20.785121566456,20.849722306869667,90.9799636677496 
 01/02  07:00:00,22.362499999999998,21.073716748235744,21.134797619252479,89.40253962741221 
 01/02  08:00:00,23.275,21.830743675831493,21.885303092168479,85.39770655033709 
 01/02  09:00:00,23.862499999999998,22.91558123437869,22.944682119751467,80.07301815364844 
 01/02  10:00:00,23.9625,24.089222261242658,24.052834986879028,74.89734696511924 
 01/02  11:00:00,24.0,25.252110885372269,25.154864034378453,70.1205723536414 
 01/02  12:00:00,24.25,26.39303052290603,26.248528440223397,65.71687238286107 
 01/02  13:00:00,25.15,27.559350180748308,27.35023776362732,61.596667398235059 
 01/02  14:00:00,25.9125,29.009419840815825,28.791634508626655,56.646116947310037 
 01/02  15:00:00,26.6,30.537857218880697,30.380415220312118,51.69153529515023 
 01/02  16:00:00,26.9625,31.73473680169964,31.704763997068029,47.92802251558892 
 01/02  17:00:00,26.75,32.599269907132697,32.6780812555773,45.360233838245509 
 01/02  18:00:00,26.2875,32.91985611154869,33.131743422935489,44.21511660364966 
 01/02  19:00:00,25.475,32.25391386216861,32.617633228886038,45.51746678957024 
 01/02  20:00:00,24.0375,30.68417746263126,31.054606687114043,49.7486457077531 
 01/02  21:00:00,23.2125,28.879309926487573,29.17069894700212,55.4246542587579 
 01/02  22:00:00,22.975,27.24802189304813,27.46105249332083,61.20889162645531 
 01/02  23:00:00,22.9,25.866199621379445,26.014497427707015,66.638799881479 
 01/02  24:00:00,22.8375,24.716180448192696,24.81190657261664,71.569050243477 
 01/03  01:00:00,22.425,23.74573395244821,23.820378192288115,75.94635737537698 
 01/03  02:00:00,22.075,22.89068315722253,22.96480669737955,79.96833801912472 
