Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE DEFAULT:Zone Mean Radiant Temperature [C](Hourly),ZONE DEFAULT:Zone Mean Air Temperature [C](Hourly),ZONE DEFAULT:Zone Air Relative Humidity [%](Hourly) 
 01/01  01:00:00,26.75,24.853156217723975,24.96654737327204,84.72175876901241 
 01/01  02:00:00,26.0,24.378785484374839,24.498743180673487,87.00399433543069 
 01/01  03:00:00,26.0,23.95039295522823,24.059026024118077,89.29398863841269 
 01/01  04:00:00,25.812500000000005,23.585857166576284,23.688484084174314,91.30508836286194 
 01/01  05:00:00,25.45,23.26422222819881,23.366793060250154,93.09282549339614 
 01/01  06:00:00,25.1125,23.01947741715011,23.105278155793067,94.63324219648432 
 01/01  07:00:00,25.437500000000005,23.223178686849719,23.257726234750395,93.8041744318603 
 01/01  08:00:00,26.075,24.342309009836727,24.313198285337405,88.06471449403299 
 01/01  09:00:00,26.7375,26.1488500463656,26.142650363300498,79.04379535796119 
 01/01  10:00:00,27.625,27.938007701102526,27.941308079419323,71.13639452191423 
 01/01  11:00:00,28.625,29.405753713486555,29.357434811199533,65.51734645787056 
 01/01  12:00:00,29.625,30.725165995029557,30.601469634739148,60.99904161607517 
 01/01  13:00:00,29.812500000000005,31.85214713294294,31.692954337135416,57.321193700694838 
 01/01  14:00:00,29.45,32.72888417958214,32.57633455947383,54.52715124634034 
 01/01  15:00:00,29.1125,33.549659513462398,33.42373452846168,51.99554448692085 
 01/01  16:00:00,28.812500000000005,34.09311926266361,34.093546441246399,50.08297826290151 
 01/01  17:00:00,28.45,33.827797837190249,34.00118927002549,50.342835565271787 
 01/01  18:00:00,28.1125,32.564316708240067,32.87422530296655,53.63873864649324 
 01/01  19:00:00,27.812500000000005,30.861033016888269,31.12697671072036,59.21236462723748 
 01/01  20:00:00,27.45,29.292722065738464,29.500966681332025,64.98342430583036 
 01/01  21:00:00,27.1125,27.970064242871414,28.144625509828445,70.28674944877364 
 01/01  22:00:00,27.187499999999998,26.877225771339505,27.017300659642019,75.06865830380906 
 01/01  23:00:00,27.55,26.013123670712458,26.137492675757004,79.0567787461516 
 01/01  24:00:00,27.8875,25.369104282626084,25.475388345626599,82.2676150401922 
 01/02  01:00:00,27.812500000000005,24.8830624895659,24.985494722123243,84.7308036614897 
 01/02  02:00:00,27.45,24.47276037361295,24.583827157280206,86.78707774996302 
 01/02  03:00:00,27.1125,24.090488878883279,24.212310691205219,88.73949566368373 
 01/02  04:00:00,26.562499999999998,23.729569601057937,23.860504435001283,90.57782189255822 
 01/02  05:00:00,25.925,23.400365854090926,23.534312271973158,92.33991642146843 
 01/02  06:00:00,25.2625,23.179193457706537,23.2852984958856,93.7366616376005 
