Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE DEFAULT:Zone Mean Radiant Temperature [C](Hourly),ZONE DEFAULT:Zone Mean Air Temperature [C](Hourly),ZONE DEFAULT:Zone Air Relative Humidity [%](Hourly) 
 01/01  01:00:00,26.75,25.3346279980044,25.423271176070455,82.45194351308061 
 01/01  02:00:00,26.0,24.714240770116406,24.815675610695185,85.37263299120147 
 01/01  03:00:00,26.0,24.18540612483261,24.290646116693027,88.06279721857763 
 01/01  04:00:00,25.812500000000005,23.725207059021245,23.840408024282718,90.47498170205951 
 01/01  05:00:00,25.45,23.315278342621889,23.445513257163677,92.65234483733 
 01/01  06:00:00,25.1125,22.965965722388355,23.10294200271701,94.64752070575699 
 01/01  07:00:00,25.437500000000005,22.963394595702117,23.054585132360637,94.95994863380946 
 01/01  08:00:00,26.075,23.815816006005723,23.79170293783583,90.85271306248198 
 01/01  09:00:00,26.7375,25.625116619244797,25.559684371498827,81.82689344932644 
 01/01  10:00:00,27.625,27.681842814244037,27.59990801970254,72.58083989172417 
 01/01  11:00:00,28.625,29.44941567878642,29.31175287888147,65.69786776225083 
 01/01  12:00:00,29.625,31.00493679290571,30.783788745305509,60.37226773066894 
 01/01  13:00:00,29.812500000000005,32.364502555584838,32.1146220991495,55.974816540697997 
 01/01  14:00:00,29.45,33.428349001273598,33.23827819167165,52.53876100159616 
 01/01  15:00:00,29.1125,34.265485071092459,34.105753118174998,50.05329263300573 
 01/01  16:00:00,28.812500000000005,34.91928952200705,34.87267502730987,47.963492911352847 
 01/01  17:00:00,28.45,34.81203347586781,34.922757578118339,47.83023329372141 
 01/01  18:00:00,28.1125,33.785086307454147,34.02467660480461,50.287928395082719 
 01/01  19:00:00,27.812500000000005,32.119970453814087,32.3479870707046,55.255334784465947 
 01/01  20:00:00,27.45,30.460545880000347,30.63094311364904,60.90673928194954 
 01/01  21:00:00,27.1125,29.019097084258627,29.15622431666302,66.28528605116242 
 01/01  22:00:00,27.187499999999998,27.80073451803745,27.9077277098052,71.26106841962798 
 01/01  23:00:00,27.55,26.81120807171537,26.884128123225673,75.65615181756877 
 01/01  24:00:00,27.8875,26.029338337122966,26.08667470395114,79.34262336697123 
 01/02  01:00:00,27.812500000000005,25.389732081449958,25.463593753187518,82.35569682001543 
 01/02  02:00:00,27.45,24.829918993957443,24.931262253777189,85.00619001665412 
 01/02  03:00:00,27.1125,24.320231731528538,24.45094485319434,87.48074547285884 
 01/02  04:00:00,26.562499999999998,23.846409240478847,24.00739864555633,89.78260913536303 
 01/02  05:00:00,25.925,23.420661149151028,23.60431188936661,91.95183565472628 
 01/02  06:00:00,25.2625,23.068821792203928,23.252654326456559,93.9227861057864 
 01/02  07:00:00,25.812499999999998,23.181010572108265,23.292570881933317,93.69832766079023 
 01/02  08:00:00,27.175,24.031969682019047,24.064385846262348,89.45553122587433 
 01/02  09:00:00,28.5125,25.731286761357354,25.65659591793294,81.43573635576021 
 01/02  10:00:00,29.437500000000005,27.888234661739277,27.753457760854095,72.0092281551232 
 01/02  11:00:00,30.075,29.90757389888923,29.704209662285835,64.34451085908843 
 01/02  12:00:00,30.7375,31.859772620820885,31.598373851570359,57.798455825323468 
 01/02  13:00:00,31.0,33.38018295584884,33.14465017584591,52.91363946845516 
 01/02  14:00:00,31.0,34.595678933097229,34.34318829518255,49.42127886401218 
 01/02  15:00:00,31.0,35.78492100235033,35.606850131357287,46.0369947818328 
 01/02  16:00:00,30.375,36.43134298710564,36.4373952204145,43.96121311044638 
 01/02  17:00:00,29.375,36.18392420000679,36.34894582426111,44.175691440522417 
 01/02  18:00:00,28.375,34.9541862557525,35.26404395888547,46.90692465532382 
 01/02  19:00:00,27.812500000000005,33.02191408066515,33.32422465192829,52.2611715692815 
 01/02  20:00:00,27.45,31.12541585011944,31.345798322956335,58.42453855417462 
 01/02  21:00:00,27.1125,29.520879572310475,29.683337528818279,64.28149038965812 
 01/02  22:00:00,26.812500000000005,28.188239617058188,28.320341155456498,69.5717976931746 
 01/02  23:00:00,26.45,27.09511452593307,27.194061722699936,74.29436243567818 
 01/02  24:00:00,26.1125,26.188291688317407,26.277780853421957,78.40569949819559 
 01/03  01:00:00,26.0,25.437828063027426,25.515647743966807,81.9200332195824 
 01/03  02:00:00,26.0,24.81641979876258,24.88208343607903,85.00362073071897 
 01/03  03:00:00,26.0,24.290751562531413,24.360343268344218,87.64110550683026 
 01/03  04:00:00,26.0,23.83346207232674,23.91137137271895,90.00029561831114 
 01/03  05:00:00,25.812500000000005,23.424006692464734,23.513862500815625,92.23705202820107 
 01/03  06:00:00,25.45,23.076117093873383,23.16779224051348,94.21846286663143 
 01/03  07:00:00,25.1125,23.22269385852781,23.260238293555358,93.75607097320803 
 01/03  08:00:00,26.875,24.33249822823216,24.38898405199265,87.67001894313474 
 01/03  09:00:00,28.625,26.156120929434903,26.230605826768309,78.5908830574405 
 01/03  10:00:00,29.625,28.385612846337826,28.37173379081063,69.33003219095925 
 01/03  11:00:00,30.625,30.615678300805678,30.48613869252124,61.4035951028748 
 01/03  12:00:00,31.0,32.65627483731974,32.430288000455899,54.93529225709623 
 01/03  13:00:00,31.625,34.54443844621697,34.28983377171695,49.46190419297302 
 01/03  14:00:00,31.375,36.10723242201706,35.88707713389518,45.274111818499338 
 01/03  15:00:00,31.0,37.28133806612378,37.11836129826682,42.321356150405978 
 01/03  16:00:00,31.0,38.061674093274238,38.0457546931081,40.21451333955749 
 01/03  17:00:00,29.75,37.86140898143354,38.04303392473537,40.20557105331039 
 01/03  18:00:00,28.375,36.53711725123556,36.86500729555217,42.90546039943776 
 01/03  19:00:00,27.375,34.43147047702064,34.75020964956511,48.228892719970819 
 01/03  20:00:00,27.0,32.31915871285053,32.553811746962789,54.55076424234476 
 01/03  21:00:00,27.0,30.518174867745488,30.696060959658334,60.623011822853218 
 01/03  22:00:00,26.874999999999998,29.031195898661275,29.170922516262654,66.20521157511925 
 01/03  23:00:00,26.6125,27.813854661031458,27.92162941300064,71.15875136191588 
 01/03  24:00:00,26.374999999999998,26.810941723932637,26.894413730717333,75.53581948942787 
 01/04  01:00:00,26.1125,25.975505520255195,26.0484212195234,79.39556803397906 
 01/04  02:00:00,26.0,25.287398139123409,25.34390637550136,82.78046032557512 
 01/04  03:00:00,26.0,24.727362656387006,24.776500707677387,85.62507635816613 
 01/04  04:00:00,26.187499999999998,24.28646695658364,24.33443027931785,87.91800490172904 
 01/04  05:00:00,26.55,23.946600617103774,24.0014002977806,89.69135562301857 
 01/04  06:00:00,26.8875,23.70566083436453,23.76713777702787,91.01919466141178 
 01/04  07:00:00,27.437500000000005,23.896013775370684,23.922828237514709,90.20830277385521 
 01/04  08:00:00,28.075,24.861302752265038,24.838122891427177,85.41445108263139 
 01/04  09:00:00,28.7375,26.39716892562302,26.359862496734058,78.09848198538653 
 01/04  10:00:00,29.187499999999998,28.061635321261595,27.955675757426488,71.10218100977801 
 01/04  11:00:00,29.55,29.68127013787401,29.49156895862428,65.0184484624425 
 01/04  12:00:00,29.8875,31.09499800686763,30.85373775603361,60.1283053800442 
 01/04  13:00:00,30.0,32.441212213772619,32.15576729961829,55.81234543655835 
 01/04  14:00:00,30.0,33.621264867535987,33.41483177724876,51.94003560994096 
 01/04  15:00:00,30.0,34.29285205719479,34.158013936569208,49.805664279408528 
 01/04  16:00:00,29.562499999999998,34.72292071290353,34.66555249954291,48.420397628150599 
 01/04  17:00:00,28.925,34.71944594359043,34.82340668145447,47.997849611624818 
 01/04  18:00:00,28.2625,33.817891624308007,34.07702047644497,50.04008347231331 
 01/04  19:00:00,27.812500000000005,32.181510340050618,32.456316564840509,54.810689372553 
 01/04  20:00:00,27.45,30.45609752267729,30.661888134792134,60.6812413617992 
