Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE DEFAULT:Zone Mean Radiant Temperature [C](Hourly),ZONE DEFAULT:Zone Mean Air Temperature [C](Hourly),ZONE DEFAULT:Zone Air Relative Humidity [%](Hourly) 
 01/01  01:00:00,27.0,26.357406935094106,26.461067550428237,78.498047611875 
 01/01  02:00:00,26.812500000000005,25.577853008481637,25.68645761822779,82.19619643194574 
 01/01  03:00:00,26.637500000000004,24.907624077092629,25.02613228265811,85.43037459727111 
 01/01  04:00:00,26.5375,24.32838548195407,24.457350066634857,88.34967818734148 
 01/01  05:00:00,26.5,23.84378368725895,23.97858690754064,90.93552628153131 
 01/01  06:00:00,26.312500000000005,23.489187742844835,23.616566667609626,92.97456060537438 
 01/01  07:00:00,26.137500000000004,23.607596038568276,23.724669052458486,92.4021367026133 
 01/01  08:00:00,27.1,24.528176078086966,24.640440878168716,87.55026411151519 
 01/01  09:00:00,28.262500000000004,26.16045480019605,26.39650470999694,78.95045557244186 
 01/01  10:00:00,29.9125,28.159320910957278,28.38116170629604,70.3094865464528 
 01/01  11:00:00,30.075,30.180275320198424,30.28120263987808,63.00267026560391 
 01/01  12:00:00,31.575000000000004,32.06443837812822,32.03697775889155,56.98803499378073 
 01/01  13:00:00,32.575,33.94485311928988,33.80761100334672,51.57403496773739 
 01/01  14:00:00,32.5,35.857077082974317,35.649213615932158,46.53359468115423 
 01/01  15:00:00,32.5,37.591094470484829,37.41377225294461,42.21011811689266 
 01/01  16:00:00,32.3125,38.823037824352,38.810339613919449,39.09722410879989 
 01/01  17:00:00,31.45,39.107605711289277,39.324394381629719,38.004823878407737 
 01/01  18:00:00,29.875000000000005,37.82646912691445,38.26239070954911,40.25320088059776 
 01/01  19:00:00,28.45,35.56585034447012,36.004000832483999,45.542028101089247 
 01/01  20:00:00,27.6875,33.29737571541904,33.66938674023393,51.83595715308457 
 01/01  21:00:00,27.312500000000005,31.355318813427809,31.583345259191959,58.30520393811532 
 01/01  22:00:00,27.137500000000004,29.73219857960163,29.88013662481645,64.27622352151558 
 01/01  23:00:00,27.0375,28.38628340051675,28.514775492484814,69.56843335790892 
 01/01  24:00:00,27.0,27.281161568148059,27.38494165004928,74.29532254432395 
 01/02  01:00:00,27.0,26.358866306440093,26.462016784188366,78.4156989063732 
 01/02  02:00:00,27.0,25.603062203888528,25.705784766816639,81.96679847846579 
 01/02  03:00:00,26.812500000000005,24.98483237156895,25.09019840745431,84.98244113830887 
 01/02  04:00:00,26.575,24.47040190995412,24.58002737945693,87.56309868904893 
 01/02  05:00:00,26.625000000000005,24.047128055120667,24.156575517409878,89.81391937882707 
 01/02  06:00:00,26.575,23.748118536156917,23.84922167145095,91.51670417522579 
 01/02  07:00:00,26.5,23.898351937866904,23.98552905339153,90.81045962960538 
 01/02  08:00:00,26.875,24.842065412008144,24.92983295638276,85.89411121327444 
 01/02  09:00:00,27.6625,26.55234841133062,26.740161368133454,77.25084655050803 
 01/02  10:00:00,28.9375,28.62503700779871,28.80201841162902,68.52814980782633 
 01/02  11:00:00,30.1875,30.67099726733137,30.759623883645817,61.23626071401791 
 01/02  12:00:00,30.35,32.5026558048246,32.49814626693231,55.47551880792662 
 01/02  13:00:00,31.0125,34.20704252355103,34.10861820602856,50.67437056959154 
 01/02  14:00:00,32.125,35.94258065973973,35.76273849271365,46.21100077638499 
 01/02  15:00:00,32.0,37.55279264880222,37.386391272515059,42.24010233399102 
 01/02  16:00:00,31.637500000000004,38.685215348729418,38.680550606854989,39.343550148521838 
 01/02  17:00:00,31.0375,38.95911909264402,39.17526745060412,38.28920565269354 
 01/02  18:00:00,30.012500000000004,37.662291727853027,38.11699104694566,40.55800234511183 
 01/02  19:00:00,28.6625,35.43063676725609,35.883339284972439,45.832258671996687 
 01/02  20:00:00,27.5375,33.189732722952317,33.57773871723172,52.087587873266929 
 01/02  21:00:00,27.075,31.207223063254206,31.45077253441483,58.72395273831536 
 01/02  22:00:00,26.812500000000005,29.52028378509591,29.679182898406596,65.00966206668844 
 01/02  23:00:00,26.7,28.120661763324074,28.26112874062682,70.60601222068599 
 01/02  24:00:00,26.637500000000004,26.973755043318339,27.093234957442275,75.58709274849949 
 01/03  01:00:00,26.5375,26.035328912396197,26.148260440416235,79.87401057788643 
 01/03  02:00:00,26.312500000000005,25.236996718078406,25.35688383752466,83.67655606706026 
 01/03  03:00:00,26.2,24.557419238448845,24.6842996380798,87.04938303321112 
 01/03  04:00:00,26.2,23.994200844177997,24.127529633922415,89.98135854389904 
 01/03  05:00:00,25.7625,23.514480313973693,23.660620679497897,92.53329856090144 
 01/03  06:00:00,25.312500000000005,23.158086706780219,23.291084716907379,94.62716026543025 
 01/03  07:00:00,25.3875,23.297431059789259,23.4050644419758,94.03831761994484 
 01/03  08:00:00,26.4375,24.24696260519318,24.354536411661387,88.93078114847842 
 01/03  09:00:00,27.437500000000005,25.93815598698514,26.184509443660219,79.84873770813856 
 01/03  10:00:00,29.2625,28.0118303415066,28.245098154519359,70.79698618846916 
 01/03  11:00:00,31.1375,30.10373538311072,30.220082290588907,63.173075079370388 
 01/03  12:00:00,31.7,31.95910512490557,31.967128342490939,57.176001877305868 
 01/03  13:00:00,31.3875,33.588880331961899,33.50346411002215,52.4227917569957 
 01/03  14:00:00,31.137500000000004,35.24442497848618,35.060702875286057,48.051555130643468 
 01/03  15:00:00,31.6625,36.84960063073183,36.68382328154209,43.92078541720988 
 01/03  16:00:00,31.500000000000005,37.89973188544064,37.9049741730241,41.06610909235965 
 01/03  17:00:00,31.137500000000004,38.09839372374579,38.30642551469194,40.170529815392068 
 01/03  18:00:00,29.9125,36.93892058114845,37.36156698798329,42.294208544793168 
 01/03  19:00:00,28.45,34.88389508793723,35.27568234122106,47.41607896487774 
 01/03  20:00:00,27.500000000000005,32.7653724350799,33.03320155496648,53.71289291311558 
 01/03  21:00:00,27.075,30.89367796284501,31.085194407671314,59.97388130264025 
 01/03  22:00:00,26.75,29.284491474096958,29.43998842910441,65.92723808049493 
 01/03  23:00:00,26.5375,27.93687033280959,28.07098215054781,71.40436165969612 
 01/03  24:00:00,26.5,26.84888854401938,26.95536383538373,76.2384672930548 
 01/04  01:00:00,26.5,25.97507184706056,26.077002066231345,80.28573556328058 
