Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE DEFAULT:Zone Mean Radiant Temperature [C](Hourly),ZONE DEFAULT:Zone Mean Air Temperature [C](Hourly),ZONE DEFAULT:Zone Air Relative Humidity [%](Hourly) 
 01/01  01:00:00,24.375,25.08708467620087,25.160357325055334,63.18482365786529 
 01/01  02:00:00,24.0,24.263834146641345,24.345217337179606,66.32809031890416 
 01/01  03:00:00,24.0,23.559979516992969,23.645035099262203,69.17548018068581 
 01/01  04:00:00,23.375,22.95804197551603,23.053631834990207,71.67532302972097 
 01/01  05:00:00,23.0,22.4040272259703,22.513458978204466,74.0527898274933 
 01/01  06:00:00,23.0,21.940219092454769,22.048010053328146,76.1791384966064 
 01/01  07:00:00,23.0625,21.83970661577028,21.91375752545348,76.80593388561972 
 01/01  08:00:00,23.6625,22.466482176371988,22.500145206172488,74.13523700398096 
 01/01  09:00:00,24.0,23.83142081918219,23.895636781484265,68.16575872419638 
 01/01  10:00:00,25.437499999999998,25.599782092248839,25.654533218202319,61.40289093674211 
 01/01  11:00:00,27.3625,27.5201243769095,27.52282873199394,55.03602479816588 
 01/01  12:00:00,28.625,29.390008424151718,29.345210049111075,49.52200660617636 
 01/01  13:00:00,29.625,31.096644113735633,31.003727838682815,45.040498738077278 
 01/01  14:00:00,30.0,32.61144003485037,32.478999829887587,41.42691148643875 
 01/01  15:00:00,30.0,33.6689352557958,33.55537073044671,38.99248467664097 
 01/01  16:00:00,30.625,34.29953330990537,34.19918484256056,37.62171073860066 
 01/01  17:00:00,28.5,34.480438150712988,34.426856375121108,37.12419102930143 
 01/01  18:00:00,26.375,33.9620963036161,33.998616681658408,37.998616698911238 
 01/01  19:00:00,26.3125,32.76303462226645,32.89840803354178,40.41833346626515 
 01/01  20:00:00,26.8125,31.19824810240257,31.327085458432636,44.182028766209558 
 01/01  21:00:00,27.0,29.664721198431374,29.76607813362698,48.306602104330078 
 01/01  22:00:00,26.375,28.301952589980805,28.384846322105099,52.30781844763364 
 01/01  23:00:00,25.375,27.093746705033508,27.166667167586348,56.143037052000497 
 01/01  24:00:00,25.0,26.02118642322193,26.088778461218298,59.81193322379672 
 01/02  01:00:00,24.375,25.088843579396508,25.161556746965134,63.18024664027622 
 01/02  02:00:00,24.0,24.281067181746459,24.360218048422849,66.26814197194394 
 01/02  03:00:00,23.375,23.576855042932686,23.661728268998787,69.0931906798023 
 01/02  04:00:00,23.0,22.95768435580429,23.04662351262684,71.69782795242289 
 01/02  05:00:00,23.0,22.414123877051627,22.507945324143237,74.07736727492076 
 01/02  06:00:00,23.0,21.9734606502989,22.063929019318708,76.10510912311037 
 01/02  07:00:00,23.0,21.836491120457155,21.902676402362986,76.85592478382698 
 01/02  08:00:00,23.625,22.193665639210708,22.25113714350377,75.26033557896733 
 01/02  09:00:00,24.0,23.24158828398067,23.26145234007132,70.81421442075491 
 01/02  10:00:00,24.812499999999998,24.949406220335356,24.980800953141569,63.90437231393008 
 01/02  11:00:00,26.3625,26.923863746238653,26.944776121662224,56.91888536319828 
 01/02  12:00:00,27.625,28.79187397122522,28.794848927213708,51.10753987507176 
 01/02  13:00:00,28.6875,30.477717483578148,30.424873876450204,46.54037866979965 
 01/02  14:00:00,29.6625,32.135457304420679,32.01427423500996,42.5292931296116 
 01/02  15:00:00,30.0,32.89883453544134,32.93973648923951,40.35757966950255 
 01/02  16:00:00,29.9375,32.32558933050353,32.58464642031604,41.17310446913851 
 01/02  17:00:00,27.4625,31.423304101320399,31.7385148122092,43.161579292881 
 01/02  18:00:00,22.875,29.75774468278221,30.100859749294324,47.339684715379828 
 01/02  19:00:00,21.9375,27.6894328387619,28.000752344596749,53.43970104232446 
 01/02  20:00:00,22.1875,25.99423259684757,26.229443033022088,59.274285872063249 
 01/02  21:00:00,22.0,24.8015378582621,25.009145136016735,63.71855076725842 
 01/02  22:00:00,21.874999999999998,23.716650343632599,23.894938048347894,68.10598320264994 
 01/02  23:00:00,21.925,22.842809931001864,22.990210914600348,71.92184025139673 
 01/02  24:00:00,22.0,22.199324555605459,22.329563061413258,74.86301021129064 
 01/03  01:00:00,21.6875,21.685082855195835,21.799654975612105,77.31160274759776 
 01/03  02:00:00,21.1875,21.327175667731827,21.418685260714484,79.12163430133265 
