Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE DEFAULT:Zone Mean Radiant Temperature [C](Hourly),ZONE DEFAULT:Zone Mean Air Temperature [C](Hourly),ZONE DEFAULT:Zone Air Relative Humidity [%](Hourly) 
 01/01  01:00:00,26.75,25.352737435511714,25.445026553376687,82.34469964379771 
 01/01  02:00:00,26.0,24.748562712114027,24.86000336865124,85.14710924981037 
 01/01  03:00:00,26.0,24.213421781051794,24.329819835415177,87.85638252066163 
 01/01  04:00:00,25.812500000000005,23.751000330298429,23.875776862487009,90.2827601973782 
 01/01  05:00:00,25.45,23.341996387666183,23.481427680729149,92.45183482987615 
 01/01  06:00:00,25.1125,23.02001430732032,23.15797419817433,94.33252636240016 
 01/01  07:00:00,25.437500000000005,23.136011728072945,23.2377156923192,93.91620239916446 
 01/01  08:00:00,26.075,24.13656907728318,24.162449605599766,88.85768887784104 
 01/01  09:00:00,26.7375,25.891147801401919,25.8618619214274,80.36473551319975 
 01/01  10:00:00,27.625,27.760272400513267,27.686076758077584,72.20786678877312 
 01/01  11:00:00,28.625,29.396151694189123,29.251989123335187,65.92227493168481 
 01/01  12:00:00,29.625,30.92070199668716,30.691864227695427,60.689593122235667 
 01/01  13:00:00,29.812500000000005,32.26492149779423,31.99064508125752,56.36806175030828 
 01/01  14:00:00,29.45,33.36837934187669,33.136883858001727,52.83937821318471 
 01/01  15:00:00,29.1125,34.33279827669576,34.15061246520568,49.93053743633351 
 01/01  16:00:00,28.812500000000005,35.04085515635951,34.98167991157963,47.675176405124407 
 01/01  17:00:00,28.45,34.93727950274079,35.03491202211345,47.53464563250003 
 01/01  18:00:00,28.1125,33.77311895047451,34.005094988831739,50.34809734741653 
 01/01  19:00:00,27.812500000000005,32.06853789621367,32.26127470990252,55.526238137937287 
 01/01  20:00:00,27.45,30.43423528590378,30.56417291953167,61.13881614699057 
 01/01  21:00:00,27.1125,29.013374924690046,29.11429711580393,66.4454768112798 
 01/01  22:00:00,27.187499999999998,27.80159474802062,27.883507380074425,71.36144794233246 
 01/01  23:00:00,27.55,26.80807634518396,26.875850260891704,75.69256138566593 
 01/01  24:00:00,27.8875,26.019777446827669,26.087305597880638,79.33974200535033 
 01/02  01:00:00,27.812500000000005,25.382602160114297,25.464764387053024,82.34986098365184 
 01/02  02:00:00,27.45,24.82922216264242,24.94017672360566,84.9608999094725 
 01/02  03:00:00,27.1125,24.323260431382665,24.465190104191977,87.40614394955913 
