Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE DEFAULT:Zone Mean Radiant Temperature [C](Hourly),ZONE DEFAULT:Zone Mean Air Temperature [C](Hourly),ZONE DEFAULT:Zone Air Relative Humidity [%](Hourly) 
 01/01  01:00:00,23.549999999999998,25.242083262863333,25.308779344903237,75.64283233307366 
 01/01  02:00:00,23.275,24.385383128482837,24.454360852171779,79.52591352649685 
 01/01  03:00:00,23.075,23.64321296202864,23.71645493919992,83.05444302629238 
 01/01  04:00:00,23.0,23.00288734571987,23.080851376213617,86.27205261164008 
 01/01  05:00:00,22.812500000000005,22.447698760162884,22.532691262414287,89.19391171715394 
 01/01  06:00:00,22.637500000000004,21.96716100203129,22.058764028419895,91.83312100131305 
 01/01  07:00:00,22.9125,21.64753541104511,21.71991208921455,93.8182889879661 
 01/01  08:00:00,24.35,21.864171287828794,21.871620153309619,93.017920227965 
 01/01  09:00:00,25.975,22.929793751949704,22.827752741885328,87.83068094323522 
 01/01  10:00:00,27.8125,24.871896071816445,24.691183390197638,78.56709824427344 
 01/01  11:00:00,29.85,27.230399008235414,26.980855883549674,68.60672358519583 
 01/01  12:00:00,31.974999999999999,29.56934733547798,29.223458235997926,60.170796940637718 
 01/01  13:00:00,32.4875,31.9976115648837,31.530414530131158,52.67796823731125 
 01/01  14:00:00,33.3625,34.36439272750964,33.91114612045479,46.01784049520819 
 01/01  15:00:00,34.625,36.32510582988381,36.026150181192139,40.880047807042618 
 01/01  16:00:00,34.4375,37.272402558584307,37.187314899747779,38.3119618353643 
 01/01  17:00:00,32.725,36.928114390682299,36.97343408720802,38.74766431681101 
 01/01  18:00:00,30.7125,35.594213551823639,35.693621535055189,41.58530962683049 
 01/01  19:00:00,28.8125,33.78043597166849,33.882360804828127,46.01144311991549 
 01/01  20:00:00,27.225,31.905447447177008,32.00650264701575,51.17659572895997 
 01/01  21:00:00,26.075,30.184787737238044,30.278083811116745,56.53046385641547 
 01/01  22:00:00,25.199999999999997,28.673455929894904,28.760914073594635,61.75582099680899 
 01/01  23:00:00,24.5875,27.362476831547345,27.44494586100961,66.71521927612179 
 01/01  24:00:00,24.025,26.23045753387688,26.295807949449494,71.37691951460588 
 01/02  01:00:00,23.549999999999998,25.24208326286595,25.308779344905824,75.64283233307379 
 01/02  02:00:00,23.15,24.380660569463634,24.450038720252907,79.58724726853717 
 01/02  03:00:00,22.562499999999998,23.617026580374526,23.691081760341505,83.28673865052443 
 01/02  04:00:00,22.362499999999998,22.94121211819007,23.01985517741547,86.70691244738899 
 01/02  05:00:00,22.4,22.35513902386492,22.440836648243157,89.77423178248664 
 01/02  06:00:00,22.275,21.848296383119658,21.940581680283466,92.56366974127636 
 01/02  07:00:00,22.012499999999997,21.465133491840946,21.548728541452147,94.86174965069125 
 01/02  08:00:00,23.525,21.542455730359003,21.559131114421854,94.85753788913851 
 01/02  09:00:00,25.562500000000005,22.404557712281986,22.326764706402878,90.55943532483534 
 01/02  10:00:00,26.949999999999997,23.936826131023694,23.791776981450565,82.91315926289602 
 01/02  11:00:00,27.5875,25.402339605761964,25.273223024122634,75.8685110497837 
 01/02  12:00:00,28.0125,25.64630609546886,25.593731616834284,74.42749305537567 
 01/02  13:00:00,28.3875,26.03612201874572,26.039947469939589,72.45494642927241 
 01/02  14:00:00,27.062500000000005,27.33314274995501,27.277321280299895,67.33922709578036 
 01/02  15:00:00,25.1375,28.019889646179469,28.023754989274605,64.41066073720515 
 01/02  16:00:00,26.812500000000005,28.24725257167538,28.167446547087036,63.810049792319059 
 01/02  17:00:00,28.825,28.43723434015361,28.32126226308782,63.2109285912289 
 01/02  18:00:00,28.699999999999997,28.26524259869714,28.20596352062943,63.63884892900417 
 01/02  19:00:00,27.5875,27.66716598953223,27.670990061478375,65.68632738729228 
 01/02  20:00:00,26.1625,26.868536078947679,26.90369476319233,68.75491283546373 
 01/02  21:00:00,25.1,26.01802210730594,26.071944209482525,72.26133063083702 
 01/02  22:00:00,24.3,25.188863413831258,25.25422472076013,75.90101462289677 
 01/02  23:00:00,23.562499999999998,24.402973843493699,24.47709720562461,79.53623215874983 
 01/02  24:00:00,22.925,23.669242062475428,23.74967085751078,83.08342493610368 
 01/03  01:00:00,22.575,22.99704637221974,23.082797550646548,86.44860205836038 
 01/03  02:00:00,22.125,22.388242017029844,22.479093034324785,89.62992812259945 
 01/03  03:00:00,21.9,21.84329198805289,21.940596967052089,92.58865721311918 
 01/03  04:00:00,21.65,21.349760184185905,21.458264254793208,95.34226010243788 
 01/03  05:00:00,21.5625,20.91765872530038,21.034007372194766,97.87646528591339 
 01/03  06:00:00,21.6625,20.522613594446264,20.661020347213389,99.796060866457 
 01/03  07:00:00,22.0125,20.273755036987688,20.379324102335308,100.0 
 01/03  08:00:00,23.2,20.425628887200696,20.4716958501907,99.11573791221795 
 01/03  09:00:00,24.675,21.12303305467359,21.12015430636363,95.29274365698473 
 01/03  10:00:00,27.199999999999997,22.240687746047308,22.07169740793454,89.92191607391773 
 01/03  11:00:00,27.4,24.07122580700119,23.822880798390359,80.90717599102419 
 01/03  12:00:00,28.6125,26.399825501113143,26.003863522348703,71.02493842593296 
 01/03  13:00:00,30.075,28.76118861214989,28.28625561291952,62.064202774721078 
 01/03  14:00:00,31.425000000000006,31.021335286834714,30.55392323260508,54.413482378199528 
 01/03  15:00:00,32.975,33.354859581862459,32.99685505855295,47.34300343313529 
 01/03  16:00:00,31.499999999999998,34.60276396769291,34.507662119925118,43.46274244065607 
 01/03  17:00:00,30.6125,34.354590787225877,34.400821622519789,43.71446045469536 
 01/03  18:00:00,30.050000000000006,33.28432549633149,33.36385488223175,46.34075136049425 
