Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE DEFAULT:Zone Mean Radiant Temperature [C](Hourly),ZONE DEFAULT:Zone Mean Air Temperature [C](Hourly),ZONE DEFAULT:Zone Air Relative Humidity [%](Hourly) 
 01/01  01:00:00,26.1875,26.385242487106333,26.46331286731546,76.93899706858756 
 01/01  02:00:00,26.0,25.79006108261373,25.851703888805,79.74787001773595 
 01/01  03:00:00,26.0,25.337784703211879,25.38494666930442,81.95576629455715 
 01/01  04:00:00,25.625,24.952477755111226,24.995400311149309,83.82578904920209 
 01/01  05:00:00,25.4,24.601744848133707,24.641261822419968,85.58483806271812 
 01/01  06:00:00,25.4,24.345240989732994,24.360808159761825,87.03215181696683 
 01/01  07:00:00,25.4,24.46534941737247,24.437093552475067,86.63636498241998 
 01/01  08:00:00,25.775,25.036233759529865,24.96642436362345,83.99751482106751 
 01/01  09:00:00,27.8125,26.209437858234197,26.063413157695004,78.7516716753124 
 01/01  10:00:00,28.9625,27.990801109492879,27.80051252844747,71.16856433652133 
 01/01  11:00:00,29.3125,29.91833200303006,29.698673786037675,63.777030680572249 
 01/01  12:00:00,30.8125,31.678552115832646,31.43862017886673,57.73268235598246 
 01/01  13:00:00,32.1625,33.31323144579716,33.03972263909531,52.675165247468978 
 01/01  14:00:00,32.875,34.6829900770274,34.41112764371135,48.77923386869492 
 01/01  15:00:00,30.0375,35.658235751558589,35.453794967305118,46.027644720937008 
 01/01  16:00:00,28.324999999999997,35.961864830586979,35.862662264846019,44.95476768060277 
 01/01  17:00:00,28.4625,35.51642418487769,35.51430877421797,45.7817683220892 
 01/01  18:00:00,28.312500000000005,34.59338665155248,34.66033357815373,47.98084504042368 
 01/01  19:00:00,28.075,33.306491500410867,33.47661321648803,51.26106256920578 
 01/01  20:00:00,28.25,31.703698767363386,31.888068363126906,56.125424400420879 
 01/01  21:00:00,28.0875,30.29032080293144,30.43204708754456,61.05044523576953 
 01/01  22:00:00,27.15,29.080471870828583,29.19423109395197,65.57338992754424 
 01/01  23:00:00,26.637500000000004,28.025454382714046,28.116062138502188,69.79943833117851 
 01/01  24:00:00,26.5375,27.1406833266802,27.222693076470184,73.53605497327908 
 01/02  01:00:00,25.9375,26.344575082687187,26.432512129789573,77.03223947609952 
 01/02  02:00:00,25.35,25.58804953206952,25.67964131424155,80.53845132660581 
 01/02  03:00:00,25.075,24.979099026515479,25.054198972296999,83.53438062512089 
 01/02  04:00:00,24.874999999999998,24.527064801880763,24.587864867397174,85.80579202759873 
 01/02  05:00:00,24.6125,24.141984632665879,24.19954518877219,87.73709848824666 
 01/02  06:00:00,24.374999999999998,23.814799883675826,23.8557858568038,89.53310887998704 
 01/02  07:00:00,24.487500000000006,23.818381626024679,23.801166711414717,89.82747821514499 
 01/02  08:00:00,25.6625,24.472571652215998,24.396433049039687,86.6859404885668 
 01/02  09:00:00,27.612499999999998,25.715755423541386,25.56417914700702,80.97421385272073 
 01/02  10:00:00,28.7125,27.283112993704085,27.11651512269765,73.94521033094725 
 01/02  11:00:00,28.9625,28.992538832929207,28.78567032525166,67.08968832848355 
 01/02  12:00:00,30.437499999999998,30.62301430303795,30.39033566170897,61.163951646131639 
 01/02  13:00:00,30.737499999999998,32.066797860820447,31.815869453722056,56.38965674188738 
 01/02  14:00:00,29.7125,33.026685307526069,32.82915040113279,53.247299656895439 
 01/02  15:00:00,29.2375,33.72872026986552,33.54172536355029,51.16188091189179 
 01/02  16:00:00,29.2,34.02709818621943,33.92086324608443,50.05593662818751 
 01/02  17:00:00,28.512500000000004,33.84147177789681,33.79096489453899,50.40173615890788 
 01/02  18:00:00,26.2875,33.26774642959014,33.28691805206447,51.84510189482259 
 01/02  19:00:00,25.575,32.3011685829251,32.447785273841748,54.39021855930397 
 01/02  20:00:00,25.675000000000006,30.728010795555624,30.94801414419909,59.25120828350995 
 01/02  21:00:00,25.1,29.09578285645024,29.2839107306985,65.2218746933471 
 01/02  22:00:00,24.675000000000006,27.655376118684506,27.816809356298579,71.0380086174087 
 01/02  23:00:00,24.5375,26.49279255917779,26.612140218871614,76.27475586592203 
 01/02  24:00:00,24.4375,25.512192215567646,25.625923496436209,80.88039488039726 
 01/03  01:00:00,24.4,24.613726756477026,24.728063209880209,85.31933058726963 
 01/03  02:00:00,24.0875,23.820851669314189,23.939519438480013,89.4445980406587 
 01/03  03:00:00,23.65,23.12348222857694,23.25523920322338,93.14983259311305 
 01/03  04:00:00,23.312500000000005,22.496496559826676,22.6421306935933,96.6366549755081 
 01/03  05:00:00,23.075,21.932860368800545,22.09136065403569,99.56874277470065 
 01/03  06:00:00,23.125000000000005,21.508759817989419,21.66155132814487,100.0 
 01/03  07:00:00,23.3875,21.570004361658623,21.65622088411747,99.36054642269804 
 01/03  08:00:00,23.937500000000005,22.200558473572138,22.232365083849169,96.01071852709018 
 01/03  09:00:00,24.7,23.364253978197647,23.287646664447168,90.10840032748937 
 01/03  10:00:00,26.124999999999998,24.79560074514319,24.678949650864337,82.93748905678388 
 01/03  11:00:00,27.55,26.31932269539903,26.16135666992061,75.9754925745505 
 01/03  12:00:00,29.062500000000005,28.02566956732266,27.80522875733729,68.98980339759365 
 01/03  13:00:00,27.8875,29.626995259460878,29.38602923268698,62.89481535252231 
 01/03  14:00:00,26.862499999999998,30.791407090390775,30.58008531299237,58.69832579972535 
 01/03  15:00:00,26.5875,31.931266740822488,31.70035106516088,55.076344320725677 
 01/03  16:00:00,26.275,32.99907062050448,32.84022301899164,51.608039050104689 
 01/03  17:00:00,25.95,33.59013326775559,33.76073121900902,48.96195672492729 
 01/03  18:00:00,25.925,33.33069746488057,33.768844113981717,48.92082455793904 
 01/03  19:00:00,25.874999999999998,31.935492998226857,32.5647969463063,52.36391422600744 
 01/03  20:00:00,25.425,29.93660750258499,30.469894655364166,58.98408891686997 
 01/03  21:00:00,24.8875,28.112507623903693,28.450979593773334,66.29167368333255 
 01/03  22:00:00,24.575,26.655921072882728,26.88112010499411,72.71537279236469 
 01/03  23:00:00,24.374999999999998,25.491355868785648,25.65898924786463,78.22600939744001 
 01/03  24:00:00,24.425,24.605845458946378,24.731479311813798,82.6876671122118 
 01/04  01:00:00,24.312500000000005,23.997733763218478,24.101155618131768,85.86476125264392 
 01/04  02:00:00,23.95,23.536688476246306,23.623809786161993,88.36392908712574 
 01/04  03:00:00,23.7375,23.147157375048605,23.216766396980458,90.56026241894728 
 01/04  04:00:00,23.512499999999997,22.791936767332197,22.86067376904691,92.53267777298662 
 01/04  05:00:00,23.3375,22.430479053873879,22.503469295548269,94.5015189081736 
 01/04  06:00:00,23.3,22.163164430180456,22.2115823307509,96.21710625721866 
 01/04  07:00:00,23.425,22.283555732731807,22.284221987373333,95.82924731223062 
 01/04  08:00:00,23.687499999999998,22.999682456232873,22.91956299966165,92.21505299280918 
 01/04  09:00:00,24.425,24.583863205175989,24.480486080143196,83.98208920352103 
 01/04  10:00:00,25.425,26.553962463969346,26.51862939612751,74.41208229418763 
 01/04  11:00:00,25.987500000000006,28.358959053905538,28.383337673344543,66.70438389447856 
 01/04  12:00:00,26.225,29.86541508682089,29.89831717506521,61.06650171094485 
 01/04  13:00:00,26.8625,31.22498796428241,31.196209925136388,56.676976957533799 
 01/04  14:00:00,27.3875,32.64356183595317,32.54584715235216,52.50750248231567 
 01/04  15:00:00,27.062499999999998,33.62995610756408,33.597470336770907,49.460541284417448 
 01/04  16:00:00,26.1125,34.06215575413145,34.1569206719833,47.92039264463499 
 01/04  17:00:00,25.824999999999997,34.177452047622619,34.45232083441053,47.138896674953198 
 01/04  18:00:00,25.7125,33.76189630472202,34.219260731403597,47.756862658476048 
 01/04  19:00:00,25.4125,32.14835966683324,32.80985077548754,51.70941041673626 
 01/04  20:00:00,25.049999999999998,29.873654720072108,30.505738728673689,58.9699733718409 
 01/04  21:00:00,24.4625,27.907174905625625,28.30128319184684,66.96996048854042 
 01/04  22:00:00,24.2625,26.431810794007086,26.650229832973936,73.78212582075811 
 01/04  23:00:00,24.2375,25.339944474569877,25.486237796505408,79.1077863096737 
 01/04  24:00:00,24.137500000000004,24.4499587851637,24.571971289139783,83.56455754724598 
 01/05  01:00:00,23.7875,23.673620679788706,23.79494875888121,87.54913922890759 
 01/05  02:00:00,23.2875,22.97183380019708,23.102094907612974,91.28496068233422 
 01/05  03:00:00,23.0375,22.335742148857283,22.47159622868333,94.78194945698212 
 01/05  04:00:00,22.874999999999998,21.790244581532549,21.934811032768697,97.83288369027828 
 01/05  05:00:00,22.8,21.371097491258796,21.517163576108147,99.87075964234302 
 01/05  06:00:00,22.7375,21.197190493274346,21.29252461416165,99.7791089928474 
 01/05  07:00:00,22.7625,21.732149721111108,21.780612140674497,96.73177251791054 
 01/05  08:00:00,23.2375,22.99369976049502,23.079746597766829,89.46314306123021 
 01/05  09:00:00,24.6875,24.776954579091354,25.030757280634214,79.62938607946384 
 01/05  10:00:00,25.775,26.785796872144858,27.018445083305818,70.81947896625627 
 01/05  11:00:00,26.9375,28.834970345470415,29.003783802618487,63.041724011911089 
 01/05  12:00:00,27.8125,30.708341066968396,30.824630858326388,56.75056086098066 
 01/05  13:00:00,28.0,32.4409949439274,32.45307268982364,51.742789042257289 
 01/05  14:00:00,27.874999999999998,34.23071775818561,34.13213171760118,47.099188253362118 
 01/05  15:00:00,27.6125,35.92446853822673,35.80459352953349,42.90842179463634 
 01/05  16:00:00,27.5,37.14928157883377,37.17151119899568,39.79442148868702 
 01/05  17:00:00,27.062499999999998,37.713406576059487,37.96386125991015,38.090075747680518 
 01/05  18:00:00,26.3,37.15279556560034,37.62459534580455,38.78694662097203 
 01/05  19:00:00,25.562499999999998,35.16827257973714,35.80933866863721,42.8631566391951 
 01/05  20:00:00,25.2375,32.46385092810835,33.01636529533912,50.10000215193976 
 01/05  21:00:00,25.5125,30.087670414148275,30.514224143030078,57.72644510087596 
 01/05  22:00:00,25.3875,28.286279920445489,28.514142644262884,64.75621846398872 
 01/05  23:00:00,25.075,26.929008478749343,27.094986339855219,70.37856552451231 
 01/05  24:00:00,24.9375,25.980830293332497,26.085460281473407,74.75470672623108 
 01/06  01:00:00,24.775,25.27924324206597,25.366275385561616,78.03722352241198 
 01/06  02:00:00,24.45,24.62446403425832,24.713612046292164,81.13187388912024 
 01/06  03:00:00,23.9875,24.059269320185284,24.13838360524662,83.92087213189012 
 01/06  04:00:00,23.4875,23.616309016794799,23.6853840412726,86.15101921844901 
 01/06  05:00:00,23.2375,23.235158968786256,23.29781470002701,88.15513740330151 
 01/06  06:00:00,23.075,22.92633454098745,22.970210281645433,89.91800056207596 
 01/06  07:00:00,23.3125,22.889783032438634,22.882554660711358,90.39585839262432 
 01/06  08:00:00,23.999999999999998,23.413133937374075,23.313026144173077,88.13693105670756 
 01/06  09:00:00,24.7375,25.037861498047787,24.898342756514784,80.16658500843416 
 01/06  10:00:00,25.5625,27.302839746046386,27.13416369912784,70.26773366578262 
 01/06  11:00:00,26.7125,29.277477009368334,29.347199098448667,61.77344023989657 
 01/06  12:00:00,28.325,30.796654123214677,30.863753305714796,56.615379143737168 
 01/06  13:00:00,29.0,32.26540611523465,32.24278952146374,52.32369245710406 
