Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE DEFAULT:Zone Mean Radiant Temperature [C](Hourly),ZONE DEFAULT:Zone Mean Air Temperature [C](Hourly),ZONE DEFAULT:Zone Air Relative Humidity [%](Hourly) 
 01/01  01:00:00,19.05,20.390728010384806,20.56305706103598,83.25834411875883 
 01/01  02:00:00,18.95,19.5358502915109,19.623901164053689,88.32504328401666 
 01/01  03:00:00,18.4875,19.024307225087275,19.099115165316048,91.35687741426547 
 01/01  04:00:00,18.05,18.59265546383974,18.6539795861273,93.97274838969507 
 01/01  05:00:00,17.65,18.19060761862329,18.21390601637497,96.60168983094252 
 01/01  06:00:00,17.375,17.84266999978149,17.830157433758804,98.96023424520893 
 01/01  07:00:00,17.7375,17.935603370417284,17.846976181142808,98.85632689276098 
 01/01  08:00:00,19.25,18.9881381895216,18.83005774714541,92.98901955522746 
 01/01  09:00:00,20.0,20.96684351414622,20.964347169871809,81.51662764896513 
 01/01  10:00:00,23.125,23.46784245441659,23.673787735203726,69.1338806914183 
 01/01  11:00:00,26.25,26.19157205929869,26.309399250405578,59.070250227414899 
 01/01  12:00:00,28.5625,28.78888809996801,28.714235420782523,51.300916971154268 
 01/01  13:00:00,29.8125,31.17806021134107,31.038601682292538,44.85426928621139 
 01/01  14:00:00,24.375,33.00850058681475,32.877869511943718,40.33048119474746 
 01/01  15:00:00,21.375,32.953379602358058,33.06756631064477,39.84794968283692 
 01/01  16:00:00,23.725,29.253392419775549,29.88570793166654,47.78413869184918 
 01/01  17:00:00,26.25,27.41100699818009,27.55961408131656,54.496471551875668 
 01/01  18:00:00,26.75,27.188690646217258,27.159283419740594,55.711976105904927 
 01/01  19:00:00,25.6,26.69018213740063,26.724676026028086,57.17249050377983 
 01/01  20:00:00,24.375,25.88268512574188,25.952395419830798,59.86624609404274 
 01/01  21:00:00,23.500000000000005,25.00425399965608,25.088605511623198,63.06171937526936 
 01/01  22:00:00,23.075,24.182881185725838,24.27636233685126,66.27131933346395 
 01/01  23:00:00,21.75,23.24558647279359,23.403019748019945,69.8802707534152 
 01/01  24:00:00,19.625,21.77039347811985,21.969836622308067,76.30202484971588 
 01/02  01:00:00,18.925,20.39793724160794,20.571222347418737,83.09798016583251 
 01/02  02:00:00,18.375,19.49103150210737,19.613267937046737,88.12460776924718 
 01/02  03:00:00,18.125,18.899519937191454,19.004603125169873,91.52465466551584 
 01/02  04:00:00,18.075,18.459881822540127,18.553545584052555,94.14156980075282 
 01/02  05:00:00,18.0,18.105526459608297,18.171402874335944,96.42539579517193 
 01/02  06:00:00,18.625,17.8387038034207,17.87833272304841,98.28674177207926 
 01/02  07:00:00,19.0,17.745054945728265,17.738128548601073,99.19989561702326 
 01/02  08:00:00,19.625,18.17785812030211,18.065140961025919,97.18662938364538 
 01/02  09:00:00,21.0,19.358017975229435,19.209074163690848,90.57498855966159 
 01/02  10:00:00,23.2875,21.590356258409807,21.479822974894863,78.76907500992594 
 01/02  11:00:00,25.9875,24.530023985890798,24.43144443676295,65.80568778059163 
 01/02  12:00:00,27.499999999999998,27.238584026406959,27.112432799797486,56.04023041113598 
 01/02  13:00:00,27.3,29.14215316997911,29.063225222541779,49.97421565866451 
 01/02  14:00:00,27.625,30.53633364963707,30.372504872479249,46.309646183025467 
 01/02  15:00:00,25.5,31.521486040495028,31.37469815981624,43.68228212530757 
 01/02  16:00:00,23.375,31.875533128013197,31.78576137303679,42.653753518026189 
 01/02  17:00:00,24.25,32.067879105521317,31.982843943377163,42.15106429695158 
 01/02  18:00:00,24.6875,31.696785820850804,31.73204145963266,42.70827181271079 
 01/02  19:00:00,24.1875,30.511254934458994,30.63734259956771,45.47753746199075 
 01/02  20:00:00,23.375,29.00655596498453,29.13034281072124,49.648224505826437 
 01/02  21:00:00,22.625,27.32460629233372,27.492108410151894,54.68596100567932 
 01/02  22:00:00,20.9,24.75092892461486,25.064558753414518,63.18477044403839 
 01/02  23:00:00,19.375,22.370919478130106,22.72598576128221,72.67757605173012 
 01/02  24:00:00,19.25,20.633798680096754,20.9462736107009,81.00988283778449 
 01/03  01:00:00,19.775,19.73140605326995,19.850221724452078,86.641022907794 
 01/03  02:00:00,19.375,19.257821872374718,19.33883937243631,89.43498557147709 
 01/03  03:00:00,19.125,18.76271135279909,18.86599713280658,92.11174262703517 
 01/03  04:00:00,19.075,18.429616048633755,18.50817598273766,94.1959023929752 
 01/03  05:00:00,19.0,18.18274159195447,18.226760661095175,95.94103890927227 
 01/03  06:00:00,19.0625,18.006463935119016,18.004440039478884,97.33103961502119 
 01/03  07:00:00,19.0375,18.073714176630646,18.031057475041288,97.23656921858673 
 01/03  08:00:00,19.625,18.326120270632047,18.2781167433374,95.84858000695954 
 01/03  09:00:00,19.875,18.734391966048265,18.70595224015789,93.3531707355066 
 01/03  10:00:00,20.55,19.256226600247169,19.245999043323317,90.26273436788863 
 01/03  11:00:00,22.25,20.237563508590069,20.152634938025885,85.32612224841081 
 01/03  12:00:00,21.4375,20.57353676259826,20.606327206428177,82.95710649271388 
 01/03  13:00:00,22.0625,20.432786293514146,20.51079519206375,83.39036782654327 
 01/03  14:00:00,23.0,21.454886183552497,21.304337931612218,79.40771769144301 
 01/03  15:00:00,21.375,22.666848973750424,22.58257521159405,73.37816472179904 
 01/03  16:00:00,20.15,21.71527681868652,21.9250127235941,76.36077914847904 
 01/03  17:00:00,20.625,21.328644727749656,21.29540467575946,79.28128665353876 
 01/03  18:00:00,21.0,21.55252585994647,21.53979742266403,78.069681256749 
 01/03  19:00:00,20.375,21.331096841355149,21.385574715278119,78.81266533246313 
 01/03  20:00:00,20.0,20.801370176859604,20.885011449099826,81.27444295926637 
 01/03  21:00:00,19.75,20.220674593363257,20.319079610413959,84.22037053062889 
 01/03  22:00:00,19.85,19.684190408677695,19.798743587013307,87.0129546627742 
 01/03  23:00:00,20.0,19.203962311314933,19.311489068558897,89.75215825139486 
 01/03  24:00:00,19.875,18.76808855377887,18.840434331606205,92.46733068401707 
 01/04  01:00:00,19.925,18.379273735431384,18.40284632252017,95.0350530686594 
 01/04  02:00:00,20.0,18.045376955888885,18.01703861534491,97.36520221757567 
 01/04  03:00:00,19.5,17.741824980459059,17.693092227168529,99.34454814255062 
 01/04  04:00:00,19.075,17.44841270458091,17.388857889647626,100.0 
 01/04  05:00:00,19.0,17.176664571773097,17.107801678424779,100.0 
 01/04  06:00:00,19.125,16.98024003652403,16.889552575464245,100.0 
 01/04  07:00:00,19.075,17.011497037477946,16.87835207622425,99.71471101590766 
 01/04  08:00:00,19.625,17.562954102490055,17.372817174068673,96.659149548495 
 01/04  09:00:00,21.25,18.753424967826019,18.54281599248689,89.83111720278859 
 01/04  10:00:00,23.25,20.47759642856854,20.39138986072107,80.08987894867419 
 01/04  11:00:00,24.625,22.449489070252896,22.35878256090793,71.0351403094134 
 01/04  12:00:00,25.875,24.436416334150019,24.26831681246052,63.32447579835104 
 01/04  13:00:00,26.15,26.156336646906455,25.969432738903273,57.17059096215563 
 01/04  14:00:00,26.625,27.537700808877785,27.34608461524828,52.65450619568428 
 01/04  15:00:00,27.625,28.701795264266936,28.526177908388996,49.0947902950991 
 01/04  16:00:00,28.0,29.547580421246577,29.417179056236095,46.57020286714089 
 01/04  17:00:00,27.375,29.773533596476619,29.73024651580657,45.6835429698665 
 01/04  18:00:00,26.4375,29.33808726933318,29.37311800246486,46.583162445488088 
 01/04  19:00:00,25.4125,28.374545902707859,28.458087810172129,49.136921487252937 
 01/04  20:00:00,23.75,27.152496369031785,27.287370564906245,52.67429155177943 
 01/04  21:00:00,21.75,25.8879661659877,26.012079203236455,56.843614259502398 
 01/04  22:00:00,21.625,24.320442059013297,24.522985818062126,62.1606404001666 
 01/04  23:00:00,22.0,21.730624680753086,22.133858200846249,71.86389756436026 
 01/04  24:00:00,22.0,20.335548298562629,20.52995852000711,79.27608403146994 
 01/05  01:00:00,22.0,19.851103457691385,19.947587184044936,82.17143473260345 
 01/05  02:00:00,21.375,19.53019840882561,19.62874145083089,83.75395611376615 
 01/05  03:00:00,21.0,19.234784296342285,19.322083502918525,85.33067463182643 
 01/05  04:00:00,21.0,18.960344956621694,19.02489069189017,86.92617933746225 
 01/05  05:00:00,21.0,18.734168370985473,18.769046177515397,88.38872344446122 
 01/05  06:00:00,21.0,18.562933199376645,18.5671497678631,89.55000267820719 
 01/05  07:00:00,21.0,18.53370123588817,18.499763454562236,89.92852003693928 
 01/05  08:00:00,21.625,18.85268904343337,18.795460694240444,88.34547918801265 
 01/05  09:00:00,22.625,19.597892922002545,19.55301380732884,84.31605318012503 
 01/05  10:00:00,24.25,20.88105899212625,20.81132010732343,78.0277700571948 
 01/05  11:00:00,25.0,22.67679369756212,22.570983621619587,70.07198356305173 
 01/05  12:00:00,25.625,24.548040874292963,24.380977014876345,62.77967094872593 
 01/05  13:00:00,26.0,26.26928020212664,26.064789136058388,56.724130665752358 
 01/05  14:00:00,25.375,27.753318933150199,27.54555254966811,51.96344160628718 
 01/05  15:00:00,26.124999999999998,28.788832980514319,28.632144926003425,48.73531451692181 
 01/05  16:00:00,26.925,29.3794181293623,29.267181615144339,46.920134225714068 
 01/05  17:00:00,27.0,29.43086789240455,29.395057159148604,46.5544646951021 
 01/05  18:00:00,27.0,28.945252617814867,28.974963173722963,47.70064471779412 
 01/05  19:00:00,25.75,28.04460778260315,28.12121726065958,50.12857479412266 
 01/05  20:00:00,24.375,26.888898984296458,27.016785963187055,53.51286737258509 
 01/05  21:00:00,23.500000000000005,25.721739517329639,25.839749147759706,57.42334753181861 
 01/05  22:00:00,23.075,24.684628534467096,24.78884791468742,61.148983995924947 
 01/05  23:00:00,22.375,23.80105138821282,23.90146971538085,64.48544119280409 
 01/05  24:00:00,22.0,23.035947298950665,23.13973353709475,67.51436881962745 
 01/06  01:00:00,22.0,22.24141255137016,22.37614674644673,70.71844943321705 
 01/06  02:00:00,21.375,21.09127103468721,21.294511624393946,75.55742562531056 
 01/06  03:00:00,21.25,20.3174486108027,20.419710624752235,79.71931532601455 
 01/06  04:00:00,20.525,19.882718671329934,19.98656706248979,81.9391436281056 
 01/06  05:00:00,19.75,19.488802767256528,19.58566323233437,84.03897476805568 
 01/06  06:00:00,19.349999999999999,19.165766161766446,19.23603531868584,85.94607139077078 
 01/06  07:00:00,19.075,18.950533752570494,19.00773314370484,87.2149715134385 
 01/06  08:00:00,19.0,18.936871489403765,18.944006666921167,87.62364303123553 
 01/06  09:00:00,20.0,19.003970546450434,19.02985025970664,87.25390797626798 
 01/06  10:00:00,21.475,19.636374838379269,19.57820165574685,84.31215979825069 
 01/06  11:00:00,22.625,20.83284970369609,20.680054398810048,78.73497212132694 
 01/06  12:00:00,23.375,22.18897019672571,22.038333690334903,72.44546254856833 
 01/06  13:00:00,23.225,23.574720435266494,23.39997126056211,66.65456091869015 
 01/06  14:00:00,23.0,25.02439889552857,24.813133452585498,61.21006065846092 
 01/06  15:00:00,22.6875,26.385036883476344,26.182495099548416,56.384628021528147 
 01/06  16:00:00,24.0625,27.45332845824287,27.302964057407367,52.72255032540554 
 01/06  17:00:00,25.0,28.135608413130475,28.053310740395767,50.39934093252682 
 01/06  18:00:00,25.0,28.17596557697712,28.200145382293763,49.94758510923612 
 01/06  19:00:00,24.375,27.43387087859004,27.53926898149751,51.91830093980154 
 01/06  20:00:00,23.375,26.338148972830245,26.45404830158072,55.375826476605087 
 01/06  21:00:00,22.500000000000005,25.2228175195819,25.338817291726359,59.18002765866678 
 01/06  22:00:00,22.075,24.176321349420904,24.296445484573256,62.9776202901302 
 01/06  23:00:00,22.0,23.225200227703398,23.35255358411365,66.7021154708703 
 01/06  24:00:00,21.874999999999998,22.41175245816212,22.53886827493907,70.09774562934551 
 01/07  01:00:00,21.3,21.71709478992748,21.846685601774415,73.11484844071025 
 01/07  02:00:00,20.75,21.08698761569455,21.222754846729705,75.90682035700621 
